DATA_DATE,wwyn_zl,wyn_r/r,wyn_m/m,CPI_r_r,inflacja_mm,indeks_cen,indeks_cen_baza,st_bezr
2022-01-31,6064.24,9.5,-8.7,101.9,1.0190000000000001,1.0190000000000001,1.0,5.9
2022-02-28,6220.04,11.7,2.6,99.7,0.997,1.015943,0.9969999999999999,5.9
2022-03-31,6665.64,12.4,7.2,103.3,1.033,1.049469119,1.029901,5.8
2022-04-30,6626.95,14.1,-0.6,102.0,1.02,1.07045850138,1.05049902,5.6
2022-05-31,6399.59,13.5,-3.4,101.7,1.0170000000000001,1.0886562959034602,1.0683575033400001,5.4
2022-06-30,6554.87,13.0,2.4,101.5,1.015,1.104986140342012,1.0843828658901,5.2
2022-07-31,6778.63,15.8,3.4,100.5,1.005,1.110511071043722,1.0898047802195505,5.2
2022-08-31,6583.03,12.7,-2.9,100.8,1.008,1.119395159612072,1.098523218461307,5.2
2022-09-30,6687.81,14.5,1.6,101.6,1.016,1.137305482165865,1.116099589956688,5.1
2022-10-31,6687.92,13.0,0.0,101.8,1.018,1.1577769808448506,1.1361893825759082,5.1
2022-11-30,6857.96,13.9,2.5,100.7,1.0070000000000001,1.1658814197107648,1.1441427082539397,5.1
2022-12-31,7329.96,10.3,6.9,100.1,1.001,1.1670473011304754,1.1452868509621936,5.2
2023-01-31,6883.96,13.5,-6.1,102.5,1.025,1.196223483658737,1.1739190222362483,5.5
2023-02-28,7065.56,13.6,2.6,101.2,1.012,1.210578165462642,1.1880060505030832,5.6
2023-03-31,7508.34,12.6,6.3,101.1,1.011,1.223894525282731,1.201074117058617,5.4
2023-04-30,7430.65,12.1,-1.0,100.7,1.0070000000000001,1.23246178695971,1.2094816358780274,5.3
2023-05-31,7181.67,12.2,-3.4,100.0,1.0,1.23246178695971,1.2094816358780274,5.1
2023-06-30,7335.2,11.9,2.1,100.0,1.0,1.23246178695971,1.2094816358780274,5.1
2023-07-31,7485.12,10.4,2.0,99.8,0.998,1.2299968633857907,1.2070626726062714,5.0
2023-08-31,7368.97,11.9,-1.6,100.0,1.0,1.2299968633857907,1.2070626726062714,5.0
2023-09-30,7379.88,10.3,0.1,99.6,0.996,1.2250768759322475,1.2022344219158463,5.0
2023-10-31,7544.98,12.8,2.2,100.3,1.003,1.228752106560044,1.2058411251815935,5.0
2023-11-30,7670.19,11.8,1.7,100.7,1.0070000000000001,1.2373533713059643,1.2142820130578647,5.0
2023-12-31,8032.96,9.6,4.7,100.1,1.001,1.2385907246772703,1.2154962950709225,5.1
2024-01-31,7768.35,12.8,-3.3,100.4,1.004,1.2435450875759793,1.220358280251206,5.4
2024-02-29,7978.99,12.9,2.7,100.3,1.003,1.247275722838707,1.2240193550919596,5.4
2024-03-31,8408.79,12.0,5.4,100.2,1.002,1.2497702742843844,1.2264673938021435,5.3
2024-04-30,8271.99,11.3,-1.6,101.1,1.011,1.2635177473015125,1.2399585351339668,5.1
2024-05-31,7999.69,11.4,-3.3,100.1,1.001,1.2647812650488137,1.2411984936691007,5.0
2024-06-30,8144.83,11.0,1.8,100.1,1.001,1.2660460463138623,1.2424396921627696,4.9
2024-07-31,8278.63,10.6,1.6,101.4,1.014,1.2837706909622564,1.2598338478530482,5.0
2024-08-31,8189.74,11.1,-1.1,100.1,1.001,1.2850544616532185,1.261093681700901,5.0
2024-09-30,8140.98,10.3,-0.6,100.1,1.001,1.2863395161148716,1.262354775382602,5.0
2024-10-31,8316.57,10.2,2.2,100.3,1.003,1.290198534663216,1.2661418397087496,4.9
2024-11-30,8478.26,10.5,1.9,100.5,1.005,1.296649527336532,1.2724725489072932,5.0
2024-12-31,8821.25,9.8,4.0,100.0,1.0,1.296649527336532,1.2724725489072932,5.1
2025-01-31,8482.47,9.2,-3.8,101.0,1.01,1.3096160226098972,1.285197274396366,5.4
2025-02-28,8613.14,7.9,1.5,100.3,1.003,1.3135448706777266,1.2890528662195548,5.4
2025-03-31,9055.92,7.7,5.1,100.2,1.002,1.316171960419082,1.291630971951994,5.3
2025-04-30,9045.11,9.3,-0.1,100.4,1.004,1.3214366482607585,1.296797495839802,5.2
2025-05-31,8670.51,8.4,-4.1,99.8,0.998,1.3187937749642369,1.2942039008481223,5.0
2025-06-30,8881.84,9.0,2.4,100.1,1.001,1.320112568739201,1.2954981047489704,5.2
2025-07-31,8905.63,7.6,0.3,100.3,1.003,1.3240729064454184,1.2993845990632171,5.4
2025-08-31,8769.08,7.1,-1.5,100.0,1.0,1.3240729064454184,1.2993845990632171,5.5
2025-09-30,8750.34,7.5,-0.2,100.0,1.0,1.3240729064454184,1.2993845990632171,5.6
2025-10-31,8865.12,6.6,1.3,100.1,1.001,1.3253969793518636,1.30068398366228,5.6
2025-11-30,9078.16,7.1,2.4,0.0,0.0,0.0,0.0,5.6
2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
